patron,room,booking_date,start_time,end_time
6098754793579       ,1,2019-10-20,16:00:00,17:00:00
9970383620320       ,2,2018-12-16,16:00:00,17:00:00
9970383620320       ,2,2019-01-06,16:00:00,17:00:00
31418421084         ,5,2019-09-24,19:00:00,20:00:00
96772917094544      ,6,2018-07-26,13:00:00,14:00:00
910661211557619     ,6,2019-07-04,19:00:00,20:00:00
005670065192217     ,7,2019-06-06,10:00:00,11:00:00
9837595784623       ,8,2020-06-30,10:00:00,11:00:00
275665603063421     ,9,2018-09-24,10:00:00,11:00:00
7970482819          ,10,2020-05-07,13:00:00,14:00:00
6312245344268       ,10,2018-08-25,10:00:00,11:00:00
72035735994         ,10,2020-01-09,19:00:00,20:00:00
900388481304        ,10,2020-02-22,10:00:00,11:00:00
55974258901588      ,11,2019-08-27,19:00:00,20:00:00
136033724733430     ,11,2019-01-04,11:00:00,12:00:00
55974258901588      ,13,2020-02-19,10:00:00,11:00:00
9837595784623       ,14,2020-05-22,11:00:00,12:00:00
47121450394         ,14,2018-07-31,19:00:00,20:00:00
6098754793579       ,14,2018-12-04,13:00:00,14:00:00
13670034122         ,14,2018-09-18,13:00:00,14:00:00
4407219420155       ,15,2019-09-20,10:00:00,11:00:00
451541289689892     ,16,2020-01-19,16:00:00,17:00:00
488911102187351     ,19,2019-07-04,19:00:00,20:00:00
716795692275703     ,19,2018-08-13,11:00:00,12:00:00
001664369241444     ,20,2019-10-15,10:00:00,11:00:00
8974631591035       ,21,2019-07-09,13:00:00,14:00:00
9970383620320       ,21,2018-09-27,13:00:00,14:00:00
136033724733430     ,21,2018-08-23,13:00:00,14:00:00
2799615637424       ,21,2019-05-07,13:00:00,14:00:00
9895143327349       ,21,2018-10-09,13:00:00,14:00:00
25557281902772      ,22,2019-08-15,19:00:00,20:00:00
77737420951         ,22,2019-03-28,19:00:00,20:00:00
2799615637424       ,22,2018-11-08,19:00:00,20:00:00
0082958892682       ,25,2020-05-21,10:00:00,11:00:00
9820389758          ,25,2019-01-09,10:00:00,11:00:00
39656331138411      ,27,2019-09-08,14:00:00,15:00:00
9909621460757       ,28,2020-07-15,10:00:00,11:00:00
2895462945          ,30,2019-03-04,10:00:00,11:00:00
55974258901588      ,31,2019-04-04,13:00:00,14:00:00
451541289689892     ,31,2019-02-14,19:00:00,20:00:00
5309015788          ,33,2018-07-16,10:00:00,11:00:00
40981081473         ,33,2018-07-15,16:00:00,17:00:00
96772917094544      ,33,2019-09-08,14:00:00,15:00:00
851362309137194     ,33,2019-11-19,10:00:00,11:00:00
478236007288013     ,34,2020-06-18,19:00:00,20:00:00
851362309137194     ,36,2019-10-06,14:00:00,15:00:00
478236007288013     ,36,2020-03-29,14:00:00,15:00:00
39656331138411      ,37,2020-01-01,10:00:00,11:00:00
350411057053382     ,37,2019-12-31,10:00:00,11:00:00
351412425557        ,41,2020-04-19,14:00:00,15:00:00
131607306146        ,42,2019-09-23,10:00:00,11:00:00
9895143327349       ,42,2018-08-31,10:00:00,11:00:00
72035735994         ,43,2018-09-30,16:00:00,17:00:00
378956710098        ,43,2020-04-12,14:00:00,15:00:00
1695749801356       ,45,2020-07-14,13:00:00,14:00:00
2046364764853       ,45,2018-11-13,13:00:00,14:00:00
943186028256        ,45,2019-04-26,11:00:00,12:00:00
451541289689892     ,45,2020-03-06,11:00:00,12:00:00
572365145502        ,46,2019-01-03,13:00:00,14:00:00
6312245344268       ,46,2019-06-11,13:00:00,14:00:00
0960764017628       ,47,2018-11-20,19:00:00,20:00:00
31418421084         ,47,2019-01-10,13:00:00,14:00:00
13670034122         ,48,2019-04-23,13:00:00,14:00:00
5309015788          ,48,2019-12-10,13:00:00,14:00:00
2895462945          ,48,2019-11-05,13:00:00,14:00:00
0082958892682       ,48,2020-07-17,11:00:00,12:00:00
4418437068          ,49,2018-12-03,10:00:00,11:00:00
40981081473         ,49,2018-10-02,10:00:00,11:00:00
0082958892682       ,50,2020-05-25,11:00:00,12:00:00
005670065192217     ,50,2019-04-18,13:00:00,14:00:00
72035735994         ,51,2018-07-24,19:00:00,20:00:00
8974631591035       ,51,2018-11-28,11:00:00,12:00:00
619550463786439     ,52,2018-11-07,10:00:00,11:00:00
455015849728        ,53,2019-06-24,10:00:00,11:00:00
6098754793579       ,53,2020-01-13,10:00:00,11:00:00
351412425557        ,53,2020-08-01,10:00:00,11:00:00
2799615637424       ,54,2020-03-30,10:00:00,11:00:00
867909525716493     ,54,2020-06-03,10:00:00,11:00:00
17334964772978      ,56,2018-10-23,13:00:00,14:00:00
5309015788          ,59,2019-07-01,10:00:00,11:00:00
96772917094544      ,61,2019-08-19,10:00:00,11:00:00
9820389758          ,61,2019-01-17,10:00:00,11:00:00
58212321541         ,61,2019-12-25,10:00:00,11:00:00
378956710098        ,62,2018-11-10,10:00:00,11:00:00
575175678859        ,62,2020-06-24,11:00:00,12:00:00
991875466902        ,68,2018-07-22,14:00:00,15:00:00
17334964772978      ,68,2019-04-28,16:00:00,17:00:00
572365145502        ,69,2020-01-30,13:00:00,14:00:00
5309015788          ,69,2020-06-11,19:00:00,20:00:00
572365145502        ,70,2020-01-05,14:00:00,15:00:00
26502421485655      ,71,2019-01-25,10:00:00,11:00:00
451541289689892     ,72,2019-02-17,14:00:00,15:00:00
851362309137194     ,73,2020-06-07,16:00:00,17:00:00
542186213975440     ,73,2018-10-10,10:00:00,11:00:00
12289703899367      ,75,2020-07-15,10:00:00,11:00:00
25557281902772      ,75,2018-08-20,10:00:00,11:00:00
716795692275703     ,75,2020-04-03,10:00:00,11:00:00
27678724765         ,75,2019-04-27,10:00:00,11:00:00
4418437068          ,77,2019-01-09,11:00:00,12:00:00
613720273099839     ,77,2019-12-24,13:00:00,14:00:00
136033724733430     ,77,2019-01-11,11:00:00,12:00:00
1283911752288       ,78,2018-11-13,19:00:00,20:00:00
13670034122         ,79,2019-11-06,11:00:00,12:00:00
7155824820          ,79,2020-05-28,13:00:00,14:00:00
20891134101995      ,79,2019-08-12,11:00:00,12:00:00
77737420951         ,85,2018-10-03,10:00:00,11:00:00
2614614125          ,87,2018-12-13,19:00:00,20:00:00
55974258901588      ,87,2019-03-28,19:00:00,20:00:00
478236007288013     ,88,2019-08-15,19:00:00,20:00:00
68420318935332      ,89,2020-03-23,10:00:00,11:00:00
9820389758          ,90,2019-02-25,10:00:00,11:00:00
13670034122         ,90,2018-10-31,10:00:00,11:00:00
849748059568969     ,93,2020-03-04,10:00:00,11:00:00
455015849728        ,94,2020-04-12,14:00:00,15:00:00
800468907182        ,94,2020-02-08,10:00:00,11:00:00
25557281902772      ,95,2019-01-05,10:00:00,11:00:00
9837595784623       ,96,2019-04-28,14:00:00,15:00:00
716795692275703     ,97,2019-09-05,13:00:00,14:00:00
